Query sequence,Most common phylum-level assignment,Phylum-level assignment,Most common class-level assignment,Class-level assignment,Most common order-level assignment,Order-level assignment,Most common family-level assignment,Family-level assignment,Most common Genus-level assignment,Genus-level assignment,Taxon assignment,Likelihood weight,otu,otu_references,tbas_loci,missing,link,Trophic Mode,Guild
Otu1007,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Lulworthiales,Lulworthiales,Lulworthiaceae,Lulworthiaceae,Lindra,Lindra,Lindra_thalassiae,"0.009868, 0.006484, 0.006480, 0.006063, 0.004734, 0.004708, 0.002621, 0.002501, 0.002375, 0.002219, 0.002218",OTU10,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1007,Saprotroph,Undefined Saprotroph
Otu1008,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Eurotiales,Eurotiales,Trichocomaceae,Trichocomaceae,Talaromyces,Talaromyces,Talaromyces_thailandensis,"0.030790, 0.026910, 0.026906, 0.026827, 0.026720, 0.026593, 0.026460, 0.026390, 0.025990, 0.025383, 0.025315",OTU11,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1008,Saprotroph,Undefined Saprotroph
Otu1009,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Hypocreales,Hypocreales,unclassified,unclassified,Sarocladium,Sarocladium,Sarocladium_strictum,"0.449169, 0.277992, 0.272839",OTU12,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1009,Saprotroph,Undefined Saprotroph
Otu101,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriaceae,Septoriella,"Septoriella,Ophiosphaerella","Ophiosphaerella_herpotricha,Septoriella_hubertusii,Septoriella_hirta,Septoriella_leuchtmannii","0.172361, 0.171744, 0.171704, 0.147244, 0.143734, 0.095014, 0.093952",OTU13,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu101,,
Otu1010,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Thyridariaceae,"Thyridariaceae,Arthopyreniaceae",Parathyridaria,"Parathyridaria,Arthopyrenia","Arthopyrenia_salicis,Parathyridaria_percutanea,Parathyridaria_ramulicola","0.314457, 0.080377, 0.072399, 0.056532, 0.054909, 0.048472, 0.047721, 0.033933, 0.033666, 0.033666, 0.033666",OTU14,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1010,,
Otu1011,Ascomycota,Ascomycota,Eurotiomycetes,Eurotiomycetes,Coryneliales,Coryneliales,Coryneliaceae,Coryneliaceae,Corynelia,Corynelia,Corynelia_uberata,"0.038200, 0.033927, 0.033732, 0.033732, 0.033732, 0.025678, 0.023380, 0.019350, 0.019350, 0.018531, 0.017136",OTU15,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1011,Pathotroph,Plant Pathogen
Otu1012,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Thyridariaceae,"Thyridariaceae,Arthopyreniaceae",Parathyridaria,"Parathyridaria,Arthopyrenia","Arthopyrenia_salicis,Parathyridaria_percutanea,Parathyridaria_ramulicola","0.116692, 0.098343, 0.097152, 0.096609, 0.096609, 0.096609, 0.096608, 0.076251, 0.044810, 0.041661, 0.036258",OTU16,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1012,,
Otu1013,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Hysteriales,Hysteriales,Hysteriaceae,Hysteriaceae,Farlowiella,Farlowiella,Farlowiella_carmichaeliana,"0.076556, 0.058358, 0.038148, 0.037219, 0.036023, 0.026852, 0.026710, 0.015175, 0.014385, 0.014385, 0.014298",OTU17,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1013,,
Otu1014,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Debaryomycetaceae,Debaryomycetaceae,Meyerozyma,"Meyerozyma,Debaryomyces","Meyerozyma_guilliermondii,Debaryomyces_hansenii",0.989033,OTU18,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1014,Pathotroph,Animal Pathogen
Otu1015,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Debaryomycetaceae,Debaryomycetaceae,Meyerozyma,"Meyerozyma,Debaryomyces","Meyerozyma_guilliermondii,Debaryomyces_hansenii","0.163821, 0.006405, 0.005009, 0.004554, 0.004498, 0.004497, 0.004480, 0.004424, 0.004262, 0.004051, 0.003958",OTU19,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1015,Pathotroph,Animal Pathogen
Otu1016,Ascomycota,Ascomycota,Pezizomycetes,Pezizomycetes,Pezizales,Pezizales,Ascobolaceae,Ascobolaceae,Ascobolus,"Ascobolus,Saccobolus","Ascobolus_carbonarius,Ascobolus_crenulatus,Ascobolus_denudatus,Saccobolus_dilutellus","0.068919, 0.059369, 0.059342, 0.056523, 0.044814, 0.044727, 0.024296, 0.023952, 0.023713, 0.022653, 0.022562",OTU20,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1016,Saprotroph,Dung Saprotroph-Wood Saprotroph
Otu1017,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Lentitheciaceae,Lentitheciaceae,Darksidea,Darksidea,"Darksidea_epsilon,Darksidea_alpha",0.974125,OTU21,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1017,,
Otu1018,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Sordariales,Sordariales,Chaetomiaceae,Chaetomiaceae,Ovatospora,Ovatospora,"Ovatospora_mollicella,Ovatospora_pseudomollicella,Ovatospora_medusarum,Ovatospora_unipora","0.647864, 0.120046, 0.115763, 0.087073",OTU22,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1018,,
Otu1019,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriaceae,Muriphaeosphaeria,Muriphaeosphaeria,Muriphaeosphaeria_galatellae,"0.007994, 0.001824, 0.001734, 0.001657, 0.001615, 0.001340, 0.001331, 0.001314, 0.001312, 0.001312, 0.001303",OTU23,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1019,,
Otu102,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Hypocreales,Hypocreales,Clavicipitaceae,Clavicipitaceae,Moelleriella,Moelleriella,Moelleriella_libera,"0.066873, 0.037420, 0.020137, 0.016328, 0.015742, 0.015555, 0.014330, 0.014325, 0.014325, 0.014325, 0.012548",OTU24,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu102,Pathotroph,Animal Pathogen
Otu1020,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Hypocreales,Hypocreales,Clavicipitaceae,Clavicipitaceae,Orbiocrella,Orbiocrella,Orbiocrella_petchii,"0.009576, 0.008264, 0.006433, 0.006380, 0.006243, 0.005794, 0.004545, 0.004517, 0.003952, 0.003779, 0.003779",OTU25,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1020,,
Otu1021,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Tubeufiales,Tubeufiales,Tubeufiaceae,Tubeufiaceae,Tubeufia,Tubeufia,Tubeufia_cerea,0.999997,OTU26,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1021,Saprotroph,Undefined Saprotroph
Otu1022,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae,Zymoseptoria,Zymoseptoria,Zymoseptoria_tritici,"0.601896, 0.203904, 0.111943, 0.050404",OTU27,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1022,,
Otu1023,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Thyridariaceae,"Thyridariaceae,Arthopyreniaceae",Parathyridaria,"Parathyridaria,Arthopyrenia","Arthopyrenia_salicis,Parathyridaria_percutanea,Parathyridaria_ramulicola","0.469548, 0.062310, 0.061904, 0.034915, 0.034129, 0.030478, 0.030429, 0.030392, 0.024042, 0.019957, 0.013277",OTU28,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1023,,
Otu1024,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeriaceae,Macrophomina,Macrophomina,Macrophomina_phaseolina,0.999,OTU29,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1024,Pathotroph-Symbiotroph,Endophyte-Plant Pathogen
Otu1025,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Hypocreales,Hypocreales,unclassified,unclassified,Acremonium,Acremonium,Acremonium_sclerotigenum,"0.860362, 0.050523, 0.040679",OTU30,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1025,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph
Otu1026,Ascomycota,Ascomycota,Lecanoromycetes,Lecanoromycetes,Teloschistales,Teloschistales,Teloschistaceae,Teloschistaceae,Rusavskia,Rusavskia,Rusavskia_elegans,"0.188352, 0.185599, 0.167824, 0.014716, 0.011898, 0.011884, 0.010370, 0.008745, 0.008739, 0.008717, 0.008132",OTU31,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1026,Symbiotroph,Lichenized
Otu1027,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Dipodascaceae,Dipodascaceae,Yarrowia,Yarrowia,Yarrowia_lipolytica,"0.906502, 0.017491, 0.017458, 0.004859, 0.004355",OTU32,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1027,Saprotroph,Undefined Saprotroph
Otu1028,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Lulworthiales,Lulworthiales,Lulworthiaceae,Lulworthiaceae,Lindra,"Lindra,Lulworthia,Lulwoana","Lulworthia_grandispora,Lindra_thalassiae,Lindra_obtusa,Lulwoana_uniseptata","0.015224, 0.015192, 0.015107, 0.013355, 0.013331, 0.010528, 0.009644, 0.009644, 0.006445, 0.006442, 0.005392",OTU33,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1028,Saprotroph,Undefined Saprotroph
Otu1029,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Atractosporales,Atractosporales,Atractosporaceae,Atractosporaceae,Rubellisphaeria,Rubellisphaeria,Rubellisphaeria_abscondita,"0.061454, 0.024422, 0.017461, 0.013865, 0.013812, 0.008252, 0.006586, 0.006281, 0.006281, 0.006281, 0.005786",OTU34,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1029,,
Otu103,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Botryosphaeriales,Botryosphaeriales,Aplosporellaceae,Aplosporellaceae,Aplosporella,Aplosporella,Aplosporella_prunicola,1,OTU35,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu103,Pathotroph,Plant Pathogen
Otu1030,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,"Capnodiales,unclassified",Cladosporiaceae,"Cladosporiaceae,unclassified,Davidiellaceae",Cladosporium,"Cladosporium,unclassified,Rachicladosporium","Rachicladosporium_inconspicuum_1,Cladosporium_cladosporioides,Rachicladosporium_inconspicuum,Dothideomycetes_sp_TRN43,Cladosporium_allicinum,Cladosporium_fusiforme,Cladosporium_sphaerospermum,Dothideomycetes_sp_TRN42,Davidiellaceae_sp_AN1,Dothideomycetes_sp_TRN44,Rachicladosporium_mcmurdoi","0.642578, 0.078558, 0.073648, 0.007984, 0.007731, 0.007714, 0.007714, 0.007714, 0.007714, 0.007714, 0.006725",OTU36,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1030,Pathotroph,Plant Pathogen
Otu1031,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Dipodascaceae,Dipodascaceae,Yarrowia,Yarrowia,Yarrowia_lipolytica,"0.656420, 0.032466, 0.015662, 0.014580, 0.008243, 0.007972, 0.007618, 0.007409, 0.006229, 0.006228, 0.006145",OTU37,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1031,Saprotroph,Undefined Saprotroph
Otu1032,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,Hemiphacidiaceae,Hemiphacidiaceae,Rhabdocline,Rhabdocline,Rhabdocline_parkeri,"0.449737, 0.332522, 0.168518",OTU38,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1032,Pathotroph,Plant Pathogen
Otu1033,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Hypocreales,Hypocreales,Ophiocordycipitaceae,Ophiocordycipitaceae,Ophiocordyceps,Ophiocordyceps,Ophiocordyceps_sinensis,0.979056,OTU39,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1033,Pathotroph-Symbiotroph,Endophyte-Insect Pathogen
Otu1034,Ascomycota,Ascomycota,Saccharomycetes,Saccharomycetes,Saccharomycetales,Saccharomycetales,Debaryomycetaceae,Debaryomycetaceae,Meyerozyma,"Meyerozyma,Debaryomyces","Meyerozyma_guilliermondii,Debaryomyces_hansenii",0.993989,OTU40,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1034,Pathotroph,Animal Pathogen
Otu1035,Ascomycota,Ascomycota,Orbiliomycetes,Orbiliomycetes,Orbiliales,"Orbiliales,unclassified",Orbiliaceae,"Orbiliaceae,unclassified",Arthrobotrys,"Arthrobotrys,Dactylellina,Drechslerella,Orbilia,Lecophagus","Arthrobotrys_pyriformis,Dactylellina_ellipsospora,Drechslerella_brochopaga,Dactylellina_haptotyla,Arthrobotrys_gephyropaga,Arthrobotrys_superba,Arthrobotrys_elegans,Orbilia_vinosa,Orbilia_auricolor,Lecophagus_sp,Drechslerella_dactyloides","0.303898, 0.272341, 0.173285, 0.011088, 0.011004, 0.010253, 0.009723, 0.009706, 0.008021, 0.008015, 0.005970",OTU41,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1035,Saprotroph,Undefined Saprotroph
Otu1036,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Atractosporales,Atractosporales,Atractosporaceae,Atractosporaceae,Rubellisphaeria,Rubellisphaeria,Rubellisphaeria_abscondita,"0.025627, 0.023228, 0.022952, 0.022947, 0.022316, 0.021824, 0.013804, 0.013714, 0.013696, 0.009722, 0.009719",OTU42,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1036,,
Otu1037,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Capnodiales,Capnodiales,Piedraiaceae,Piedraiaceae,Piedraia,Piedraia,Piedraia_hortae,"0.806301, 0.055185, 0.018262, 0.013103, 0.013064, 0.011916, 0.010074, 0.009462, 0.008910, 0.008830",OTU43,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1037,Pathotroph,Animal Pathogen
Otu1038,Ascomycota,Ascomycota,Leotiomycetes,Leotiomycetes,Helotiales,Helotiales,Leotiaceae,Leotiaceae,Neobulgaria,Neobulgaria,"Neobulgaria_pura,Neobulgaria_alba","0.045421, 0.022194, 0.018169, 0.016920, 0.016035, 0.012961, 0.012950, 0.012388, 0.010508, 0.009976, 0.009194",OTU44,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1038,Saprotroph,Undefined Saprotroph
Otu1039,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Teichosporaceae,Teichosporaceae,Teichospora,Teichospora,"Teichospora_radicans,Teichospora_viticola","0.022377, 0.020749, 0.016375, 0.012052, 0.011831, 0.011831, 0.011831, 0.011755, 0.011754, 0.011754, 0.011753",OTU45,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1039,Saprotroph,Undefined Saprotroph
Otu104,Ascomycota,Ascomycota,Dothideomycetes,Dothideomycetes,Pleosporales,Pleosporales,Lentitheciaceae,Lentitheciaceae,Darksidea,Darksidea,"Darksidea_epsilon,Darksidea_alpha","0.630684, 0.146542, 0.146313, 0.064874",OTU46,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu104,,
Otu1040,Ascomycota,Ascomycota,Sordariomycetes,Sordariomycetes,Atractosporales,Atractosporales,Atractosporaceae,Atractosporaceae,Atractospora,"Atractospora,Rubellisphaeria","Rubellisphaeria_abscondita,Atractospora_reticulata,Atractospora_verruculosa,Atractospora_decumbens","0.144744, 0.140838, 0.140700, 0.068861, 0.065113, 0.065113, 0.065113, 0.016748, 0.011035, 0.010486, 0.010384",OTU47,,1,nucLSU:nucSSU:mitSSU:RPB1:RPB2,https://vclv99-239.hpc.ncsu.edu/tbas2_1/genetree.php?layout=xy&runnumber=ET66UU4R&strain=Otu1040,,
